primary_app,country,device_code,secondary_app,yearmonth,apps_data_ai_affinity_ios,apps_data_ai_affinity_android
1133960732,US,ios-phone,976885594,2023-11,966.0369273688088,
435588892,US,ios-phone,976885594,2023-11,939.0804457808292,
1170340094,JP,ios-phone,1483019344,2023-11,867.3205373342882,
1097028383,DE,ios-phone,1059663972,2023-11,849.1083632918834,
1114038503,JP,ios-phone,1067643333,2023-11,842.1247240618901,
1495723103,DE,ios-phone,1489706295,2023-11,813.738268242637,
463142843,JP,ios-phone,1179213067,2023-11,813.6199131518039,
1491433898,US,ios-phone,976885594,2023-11,765.686450024075,
1381312501,JP,ios-phone,1532861207,2023-11,733.3550013432805,
1205558961,JP,ios-phone,1541751298,2023-11,711.9435109265288,
