domain,country,date,desktop_visits,desktop_pages_per_visit,desktop_bounce_rate,mobile_visits,mobile_pages_per_visit,mobile_bounce_rate,mobile_average_visit_duration,all_traffic_visits,all_traffic_pages_per_visit,all_traffic_average_visit_duration,all_traffic_bounce_rate,desktop_unique_visitors,mobile_unique_visitors,desktop_average_visit_duration,desktop_share,mobile_share,desktop_page_views,mobile_page_views,all_page_views
google.com,WW,2024-06-25,1217582394.6798356,12.59161636554879,0.2326893834245467,1655046500.3197937,6.189356744355818,0.3105898580563851,400.4323843055332,2872628894.999629,8.902996022476065,663.2036547638386,0.2775712364676255,398476494.87376446,863365539.9462368,1020.3857834287008,0.423856487971445,0.5761435120285551,15331330407.254704,10243673218.976809,25575003626.231518
youtube.com,WW,2024-06-25,800809688.0588981,13.25108174757274,0.1751534608957194,223642531.75716344,6.285572888902641,0.3963057995356741,568.3187943605008,1024452219.8160616,11.73047980440976,1188.005971500338,0.2234320120675225,257275885.4296281,142166850.79123652,1361.066326862585,0.7816954979146631,0.2183045020853369,10611594640.716684,1405721434.4183743,12017316075.13506
mail.google.com,WW,2024-06-25,395934212.5397164,9.933516431150116,0.1645759201947719,21218893.940695632,4.814027567840312,0.2995190328459099,288.98586944857936,417153106.480412,9.673108706663363,778.9386558018276,0.171439931395672,151295000.03190747,11279775.122925883,805.1961902111204,0.9491340382917848,0.0508659617082151,3933019005.917755,102148340.38958852,4035167346.307344
google.com,US,2024-06-25,326997909.1958762,14.129986991390908,0.2107650528116898,303564728.33827066,5.696373203216338,0.3154336767501085,407.8203083896148,630562637.5341468,10.069886493637476,767.4006598367308,0.2611544994742128,102294361.89544693,142961279.63788536,1101.2129217293225,0.5185811682002303,0.4814188317997698,4620476203.149756,1729217983.9477725,6349694187.097528
facebook.com,WW,2024-06-25,221128313.57721427,13.596428851699589,0.2292654009898023,298549234.268371,6.670614031463757,0.3690946200112082,432.39618510372026,519677547.8455852,9.61762176288472,634.7544810634693,0.3095958028712191,89794362.85650504,165908721.64038748,907.961983663718,0.4255106161386818,0.5744893838613182,3006555382.64891,1991506711.193356,4998062093.842266
youtube.com,US,2024-06-25,177317619.50914714,12.956759074004664,0.1733911942004822,30503783.899330333,5.691708966203563,0.2784423221383951,387.29833343455726,207821403.4084775,11.890403468318617,1157.4786092961338,0.1888104765864286,56997140.52364213,19280418.90174869,1289.972000327679,0.853221162983995,0.1467788370160049,2297461675.556049,173618660.32295433,2471080335.879003
docs.google.com,WW,2024-06-25,142524300.34519708,9.874057559116023,0.237939291163986,57950393.17078415,4.555284133638071,0.4343789196480629,206.78677132222177,200474693.51598123,8.33658165237174,575.9529226835747,0.2947232847210957,62534015.500869736,43064981.77440896,726.0559125942109,0.7109341226344635,0.2890658773655365,1407293145.1812158,263980506.548961,1671273651.7301767
mail.google.com,US,2024-06-25,130765422.2584312,10.418726242235252,0.1398004862928987,4461569.999088444,3.164475114652525,0.296538900075322,280.24951371446195,135226992.25751963,10.179385348406589,788.4530813184854,0.1449717867334547,48120422.32841041,2249037.759110929,805.7924188244722,0.96700680888774,0.0329931911122599,1362409136.4608908,14118527.23439567,1376527663.6952865
whatsapp.com,WW,2024-06-25,87498431.6454255,1.8598459985678903,0.3447057752551706,22267283.94516313,2.075191012313616,0.6645209070127553,159.01016468090495,109765715.59058864,1.903531301774371,1245.4592610906573,0.4095840873081601,45938289.86982515,18744325.03536016,1521.947308553696,0.7971380788130867,0.2028619211869133,162733607.9767107,46208867.51163781,208942475.4883485
instagram.com,WW,2024-06-25,87443045.3907114,20.76375565336942,0.2251392248738321,152002190.38671836,6.276616010491537,0.4462407457103152,339.86896399333654,239445235.77742976,11.567176940888444,491.763067523208,0.3654966446231207,41829811.43552095,95579896.56473182,755.8004914281622,0.365190165955074,0.634809834044926,1815646028.0792224,954059381.8110592,2769705409.8902817
