domain,keyword,parent_asin,date,shopper_keyword_product_price_numerator,shopper_keyword_product_price_denominator,shopper_keyword_product_total_scrapes,shopper_keyword_product_appearances,shopper_keyword_product_avg_ranking,shopper_keyword_product_organic_top10_appearances,shopper_keyword_product_organic_p1_appearances,shopper_keyword_product_organic_p2_appearances,shopper_keyword_product_brand,shopper_keyword_product_leaf_category_id,shopper_keyword_product_search_volume,shopper_keyword_product_organic_clicks,shopper_keyword_product_paid_clicks,shopper_keyword_product_keyword_organic_clicks,shopper_keyword_product_keyword_paid_clicks,shopper_keyword_product_parent_asin_organic_clicks,shopper_keyword_product_parent_asin_paid_clicks,shopper_keyword_product_branded,shopper_keyword_product_avg_organic_ranking,shopper_keyword_product_keyword_product_features,shopper_keyword_product_keyword_features,shopper_keyword_product_total_clicks
amazon.com,most expensive item,B0BBJYTJHC,2024-06-10,3759464065.661682,2272.180848093629,725,0,,0,0,0,Sports Memorabilia,3311044011,8462,2272,0,4474,759,3430,0,,,,33032,2272
amazon.com,expensive stuff,B0BBJYTJHC,2024-06-10,1070456038.1468616,717.0501687334072,696,282,74.0,255,282,0,Sports Memorabilia,3311044011,5977,717,0,3091,424,3430,0,,74.0,,33034,717
amazon.com,expensive,B0BBJYTJHC,2024-06-10,557175504.5030204,372.8029256574797,712,295,71.0,268,295,0,Sports Memorabilia,3311044011,2033,372,0,1179,97,3430,0,,71.0,,536909195,372
amazon.com,most expensive thing on amazon,B08543XH5B,2024-06-10,188104703.84406373,1881.04722654536,701,0,,0,0,0,Sports Memorabilia,3311070011,8621,1881,0,4186,448,2127,0,,,,33034,1881
amazon.com,most expensive item,B0BZM6Q1XL,2024-06-10,131004004.6204241,430.832996167709,725,53,109.0,53,53,0,Topps,9430239011,8462,430,0,4474,759,481,0,,109.0,,33032,430
amazon.com,most expensive item,B081D5NWNJ,2024-06-10,108097323.19968812,245.36634999723728,725,447,51.0,408,447,0,Sports Memorabilia,9430229011,8462,245,0,4474,759,371,0,,49.0,,33032,245
amazon.com,house,B0CWGH116C,2024-06-10,86167504.78784305,3460.681344144064,699,694,4.0,694,694,0,Generic,13400671,90915,3460,0,63948,8612,6917,0,,4.0,,33039,3460
amazon.com,most expensive thing on amazon,B07B69D9CK,2024-06-10,81828021.78015015,483.42789312357945,701,0,,0,0,0,Sports Memorabilia,3311044011,8621,483,0,4186,448,506,0,,,,33034,483
amazon.com,expensive stuff,B0BD2217FC,2024-06-10,64950715.850999855,251.4166674021648,696,399,55.0,372,399,0,Sports Memorabilia,3311044011,5977,251,0,3091,424,367,0,,54.0,,33034,251
amazon.com,rolex,B0174D18R4,2024-06-10,61802728.2958239,1271.3286147250049,724,672,11.0,658,672,0,Rolex,6358540011,18905,1271,0,7626,2841,2294,0,,10.0,,34185,1271
