domain,country,keyword,date,google_kw__platform,google_kw__referral_type,google_kw__clean_landingpage,google_kw__calibrated_users,google_kw__calibrated_clicks,google_kw__is_branded_keyword,google_kw__is_question
000webhost.com,EG,000webhost,2024-06-25,desktop,ORGANIC,000webhost.com,5.11390395484549,10.22780790969098,1,0
00soap2day.com,HN,soap2day,2024-06-25,desktop,ORGANIC,00soap2day.com,1.12263149716749,1.12263149716749,0,0
00soap2day.com,IT,soap2day,2024-06-25,desktop,ORGANIC,00soap2day.com/home,1.424901789548837,1.424901789548837,0,0
00soap2day.com,IT,soap2day,2024-06-25,desktop,ORGANIC,00soap2day.com,5.699607158195348,5.699607158195348,0,0
00soap2day.com,LV,soap2day,2024-06-25,desktop,ORGANIC,00soap2day.com,8.640325138396504,8.640325138396504,0,0
00soap2day.com,NP,soap2day,2024-06-25,desktop,ORGANIC,00soap2day.com,6.35133427699179,6.35133427699179,0,0
00soap2day.com,NZ,soap2day,2024-06-25,desktop,ORGANIC,00soap2day.com,4.038413509038089,8.076827018076179,0,0
00soap2day.com,NZ,soap2day,2024-06-25,desktop,ORGANIC,00soap2day.com/home,2.0192067545190446,2.0192067545190446,0,0
00soap2day.com,PK,soap2day,2024-06-25,desktop,ORGANIC,00soap2day.com,2.0614472281768466,2.0614472281768466,0,0
00soap2day.com,GB,soap 2 day,2024-06-25,desktop,ORGANIC,00soap2day.com,5.042340381260942,5.042340381260942,0,0
