domain,country,date,desktop_visits,desktop_pages_per_visit,desktop_bounce_rate,mobile_visits,mobile_pages_per_visit,mobile_bounce_rate,mobile_average_visit_duration,all_traffic_visits,all_traffic_pages_per_visit,all_traffic_average_visit_duration,all_traffic_bounce_rate,desktop_average_visit_duration,desktop_share,mobile_share,referrals_channel_desktop_share,referrals_channel_desktop_visits,direct_channel_desktop_share,direct_channel_desktop_visits,display_ads_channel_desktop_share,display_ads_channel_desktop_visits,mail_channel_desktop_share,mail_channel_desktop_visits,social_channel_desktop_share,social_channel_desktop_visits,organic_search_channel_desktop_share,organic_search_channel_desktop_visits,paid_search_channel_desktop_share,paid_search_channel_desktop_visits
google.com,WW,2024-09-30,7577484860.281359,11.481006900017654,0.2400976744872588,11591298624.604189,6.118857638182012,0.3126455907142781,408.5586343331545,19168783484.885544,8.238533353762305,655.6095234125104,0.2839671543759128,1033.5239216059038,0.3953033778203063,0.6046966221796938,0.0510832917561595,387082869.8956352,0.880280963201326,6670315671.45195,0.0026252549294379,19892829.48219474,0.000779207428279409,5904432.490806004,0.0105506508749623,79947397.27114171,0.0517546662539076,392170199.9879004,0.0029259655559254,22171459.70172977
youtube.com,WW,2024-09-30,5066789126.943221,12.355337880890144,0.1860506864847811,1472030542.9491584,6.078723191067595,0.3892538651344085,574.8756858369762,6538819669.89238,10.942335382551752,1208.3602355267285,0.2317961421629507,1392.4035383496123,0.7748782475640001,0.2251217524359998,0.0221468801044192,112213571.30878696,0.7875998411480466,3990602311.511137,0.0011913917302954,6036530.664991221,0.0007760290751903137,3931975.680366091,0.0065586280151055,33231185.114601843,0.1815226947813772,919737216.2117168,0.0002045351455638772,1036336.4516208032
mail.google.com,WW,2024-09-30,2202177290.8833213,9.39144884356355,0.1879138942590225,134125053.40155952,5.158347211621511,0.3164591961416648,291.6379554747477,2336302344.2848806,9.148430218929056,769.1644514410385,0.1952935664669902,798.2485161243354,0.9425908835259874,0.0574091164740126,0.0698614001780228,153847188.98135394,0.8817681869518675,1941809877.1287608,0.0061821453893288,13614180.18531905,0.0006363005347619009,1401246.587829571,0.0141859184818868,31239907.531133235,0.0273447426439692,60217971.27559779,2.1305820163047225e-05,46919.19332670656
google.com,US,2024-09-30,1883637549.39614,12.299851899884295,0.2218184552085529,1887325175.294321,5.663112278345315,0.3170031444022693,411.8019064661328,3770962724.6904607,8.978237054001141,737.3930150934084,0.2694573403774887,1063.621538389327,0.4995110498077803,0.5004889501922197,0.0629897343809518,118649828.90644984,0.8579994516710933,1616159984.5289688,0.0025659663508946,4833350.569032178,0.0001091062018055439,205516.53859291525,0.0180332938708805,33968189.47448593,0.0575863725793942,108471853.7240632,0.0007160749449801252,1348825.654546338
facebook.com,WW,2024-09-30,1333946684.2503765,16.400304307349202,0.2398788798872277,1494818960.830922,7.33970667175572,0.3702418089531269,428.7896268790671,2828765645.0812984,11.612366796267152,654.0352964641874,0.3087672229339569,906.445307835899,0.4715649338324875,0.5284350661675125,0.030772785882343,41049255.69289832,0.7823707841092475,1043640913.3168976,0.0012047632669649,1607089.965274533,0.0011960019886224,1595402.8870797178,0.0075751030238357,10104783.56150064,0.1760753633852757,234875147.16596863,0.0008051983437108627,1074091.660757
youtube.com,US,2024-09-30,1035111521.9981576,11.236412107053514,0.1908717720324028,155728830.74851456,5.472890110537814,0.2864616074699971,384.8976131905465,1190840352.7466722,10.482703568843045,1162.647966325697,0.2033722665527679,1279.6577285918709,0.869227784908929,0.1307722150910709,0.0307519121230864,31831658.56208165,0.7666941680960703,793613967.2450345,0.0006114873345832033,632957.5855830162,0.00015440776109110628,159829.2525913429,0.0091827500320023,9505170.361754598,0.1923481550123647,199101791.4883864,0.0002571196408018784,266147.5027260519
docs.google.com,WW,2024-09-30,990297959.4986066,9.282481982813806,0.254488656914129,440600722.4600405,4.58713618987662,0.4136211527215968,213.28379522210665,1430898681.958647,7.836696355465228,604.8594914167815,0.3034885571192687,779.0783040340659,0.6920811179608216,0.3079188820391784,0.0991831917663609,98220912.42278624,0.8420392330112997,833869734.268862,0.0068876448330827,6820820.62395299,0.0008424177107033942,834244.539955059,0.0172508331335371,17083464.851792805,0.0337523054966658,33424839.26172176,4.437404835020659e-05,43943.5295359021
whatsapp.com,WW,2024-09-30,863088998.3476242,9.555735878521524,0.4591628337953214,193739033.1384735,3.6101583857657618,0.6623125242595627,144.645752561779,1056828031.4860976,8.465785195365818,902.974524499658,0.4964044884830549,1073.197854141912,0.8166787524872516,0.1833212475127483,0.0403404339457592,34817384.72715384,0.7774510886627636,671009481.3782146,0.0006806460424381985,587458.1109972593,0.000744297375468284,642394.8762656867,0.0083693237151534,7223471.222158845,0.1722685024818296,148683049.2538876,0.00014570777658766212,125758.7789465047
web.whatsapp.com,WW,2024-09-30,841163812.9283429,9.692435525150616,0.460917596812687,21833497.65547923,2.334450271842545,0.57780840922105,340.9107090194023,862997310.5838221,9.506281348530448,1077.9918138844853,0.4638748890862151,1097.123709869103,0.9747003873735032,0.0252996126264967,0.0469680470543456,39507821.54603121,0.8241789452336497,693269504.1079966,0.0044427774854903,3737103.6496872734,0.0005751801476114811,483820.7260855605,0.0073830655506853,6210367.569714416,0.1163909275353746,97903836.3959222,6.105699284284779e-05,51358.93290562839
mail.google.com,US,2024-09-30,673915082.220796,8.436457412892198,0.1766433356509246,24807509.500265207,3.0244194783072555,0.3445598131700216,281.5207431202086,698722591.7210612,8.244307933157598,715.6256629599513,0.18260505731366,731.6055129546247,0.9644959104024952,0.0355040895975046,0.106194141927309,71565833.88830931,0.83072916062746,559840910.5874671,0.002027715512792,1366508.0665236255,2.9515502807635934e-08,19.890942501396086,0.0222056173051905,14964700.411991034,0.0388329589396824,26170116.716712844,1.0376172064156438e-05,6992.658849753107
