domain,country,date,desktop_visits,desktop_pages_per_visit,desktop_bounce_rate,mobile_visits,mobile_pages_per_visit,mobile_bounce_rate,mobile_average_visit_duration,all_traffic_visits,all_traffic_pages_per_visit,all_traffic_average_visit_duration,all_traffic_bounce_rate,desktop_unique_visitors,mobile_unique_visitors,desktop_average_visit_duration,desktop_share,mobile_share,desktop_page_views,mobile_page_views,all_page_views
google.com,WW,2024-06-28,1102488008.6586645,12.01674526121952,0.2410803654645529,1585965050.2777574,6.139303890264926,0.3117224389216816,395.7391435710449,2688453058.936422,8.549540740610103,627.5558157628636,0.2827533488219348,375009054.58953184,829190076.2535316,961.0316787930868,0.4100826700298868,0.5899173299701133,13248317553.60035,9736721402.994444,22985038956.594795
youtube.com,WW,2024-06-28,800721477.5500636,13.52968913745138,0.1706104979604125,228307232.2079053,6.342402317241577,0.3938457991501088,575.1109044245076,1029028709.7579688,11.935069331953043,1208.385926526212,0.2201389836697229,254561508.2037972,145111782.5246406,1388.9496700701095,0.7781332726259854,0.2218667273740145,10833512676.933117,1448016318.5984292,12281528995.531544
mail.google.com,WW,2024-06-28,344880149.04612184,9.54960942522268,0.1704419472233713,19730828.42585756,4.781577187470648,0.2923149749758424,287.72803446309035,364610977.4719794,9.291588598026731,733.2982619974389,0.177037074492979,138446516.47935095,10497886.52338474,758.789638452321,0.9458852595095718,0.0541147404904282,3293470721.903048,94344479.0909779,3387815200.994025
google.com,US,2024-06-28,297011901.4369736,13.24112338808732,0.2188362503197972,292449963.7970193,5.720949616128451,0.3153276464637611,410.6539199615105,589461865.2339928,9.51013640306219,726.2556561019918,0.2667085673827922,95990277.30923463,138763202.93044192,1037.009925079142,0.5038695782619825,0.4961304217380175,3932771234.657397,1673091508.1213372,5605862742.778734
facebook.com,WW,2024-06-28,207756582.2436962,13.809662576683971,0.2301301884294075,293146982.9348165,6.654419851346978,0.3695688521965319,427.0939942466602,500903565.1785127,9.62215431578487,624.2423120592955,0.3117347654965071,85035413.7705807,163179182.18647468,902.4209090178136,0.4147636325360464,0.5852363674639536,2869048298.8705378,1950723102.6039164,4819771401.474454
youtube.com,US,2024-06-28,171613074.66766343,12.94916124510532,0.1705053714978338,31279006.560845666,5.653106977521395,0.2773099294251764,386.107442560645,202892081.2285091,11.82435968596011,1151.852995842979,0.1869709745312762,55094014.88886952,19815071.687351048,1291.421383807825,0.8458342663180758,0.1541657336819242,2222245375.639873,176823570.2390541,2399068945.8789268
docs.google.com,WW,2024-06-28,119015274.80749618,9.347585507793005,0.2521404608023459,52377548.33164466,3.86847961397228,0.4198909152241111,210.18529164420508,171392823.13914084,7.673173892933174,546.7475907437492,0.3034049033455344,54509642.15912427,37760841.13573838,694.8656211075754,0.6944005742345273,0.3055994257654726,1112505457.9965532,202621477.9508152,1315126935.9473684
mail.google.com,US,2024-06-28,114467420.76151352,9.94419870986074,0.1460440373090517,4284105.776845803,3.206627881995057,0.3028668798614365,289.1579230818353,118751526.53835931,9.701132646232134,743.9441809849934,0.1517016121234945,44252366.76171229,2175028.426603222,760.9652025276408,0.9639237835358526,0.0360762164641474,1138286777.8577292,13737533.033449844,1152024310.891179
instagram.com,WW,2024-06-28,82400118.69942756,21.300668172983247,0.2244415326918845,146470380.9328414,6.299361857353103,0.4448873798133438,343.64610811068053,228870499.63226897,11.700273827399393,495.5105032956925,0.3655203840721285,39557196.94202216,92147348.09307083,765.4571509943783,0.3600294438637638,0.6399705561362361,1755177585.8309383,922669930.8803204,2677847516.711259
whatsapp.com,WW,2024-06-28,78282787.69301008,1.8242081134717396,0.3486946093013326,21416756.23475156,2.2563557491200985,0.6704191117844608,159.44678023736546,99699543.92776164,1.917039035314382,1227.4316850634957,0.4178052087381798,41825368.50977164,18091272.22985683,1519.6130577906945,0.7851870190071352,0.2148129809928649,142804096.45477462,48323821.05778538,191127917.51256
