domain,keyword,parent_asin,date,shopper_keyword_product_brand,shopper_keyword_product_leaf_category_id,shopper_keyword_product_search_volume,shopper_keyword_product_organic_clicks,shopper_keyword_product_paid_clicks,shopper_keyword_product_keyword_organic_clicks,shopper_keyword_product_keyword_paid_clicks,shopper_keyword_product_parent_asin_organic_clicks,shopper_keyword_product_parent_asin_paid_clicks,shopper_keyword_product_branded,shopper_keyword_product_avg_organic_ranking,shopper_keyword_product_keyword_product_features,shopper_keyword_product_keyword_features,shopper_keyword_product_total_clicks
amazon.com,the wedding veil,B0D14YBCK6,2024-06-17,Ｎｏｏｎｈｏｒｓｅ,11058051,4260,0,30,2516,325,0,30,,,,184587657,30
amazon.com,kitsch hair clips,B0C6MXNGPN,2024-06-17,Ｎｏｏｎｈｏｒｓｅ,3784401,6383,1,0,2336,1980,1,0,,79.0,,1610637,1
amazon.com,checkered hair clip,B0C6MZKNXP,2024-06-17,Ｎｏｏｎｈｏｒｓｅ,3784401,429,10,0,229,86,13,0,,8.0,,45967,10
amazon.com,cute claw clips,B0C6MZKNXP,2024-06-17,Ｎｏｏｎｈｏｒｓｅ,3784401,6181,2,0,2968,1630,13,0,,73.0,,687911823,2
amazon.com,checkered claw clip,B0C6MZKNXP,2024-06-17,Ｎｏｏｎｈｏｒｓｅ,3784401,420,1,0,240,91,13,0,,16.0,,37775,1
amazon.com,sweet 16 sash,B0CRF1B78V,2024-06-17,Ｎｏｏｎｈｏｒｓｅ,2474978011,558,1,0,265,86,3,0,,41.0,,16810381,1
amazon.com,sweet 16,B0CRF1B78V,2024-06-17,Ｎｏｏｎｈｏｒｓｅ,2474978011,6284,2,0,3260,1217,3,0,,108.0,,33054,2
amazon.com,tiara,B0BCL423B8,2024-06-17,Ｎｏｏｎｈｏｒｓｅ,2474978011,8845,1,0,5255,3831,4,0,,109.0,4096.0,25203103,1
amazon.com,black crown,B0BCL423B8,2024-06-17,Ｎｏｏｎｈｏｒｓｅ,2474978011,347,1,0,182,65,4,0,,17.0,536870912.0,671122188,1
amazon.com,sunglass floating straps,B0C6MZX2S8,2024-06-17,Ｎｏｏｎｈｏｒｓｅ,7491809011,317,1,0,199,75,14,0,,24.0,,33032,1
